project_id,spatial_unit,spatial_location,lat,lon,nr_fields,nr_farmers,man_mean_date,man_sd_date,nr_fields_irrigated,nr_fields_weeded,nr_fields_tilled,nr_fields_sowed,nr_fields_harvested,nr_fields_urea,nr_fields_dap,nr_fields_potash,nr_fields_zinc,nr_fields_fungicide,nr_fields_herbicide,nr_fields_pesticide,mean_urea_kg_acre,sd_urea_kg_acre,mean_dap_kg_acre,sd_dap_kg_acre,mean_potash_kg_acre,sd_potash_kg_acre,mean_zinc_kg_acre,sd_zinc_kg_acre,mean_fungicide_kg_acre,sd_fungicide_kg_acre,mean_herbicide_kg_acre,sd_herbicide_kg_acre,dam_mean_date,dam_sd_date,nr_fields_dam_rain,nr_fields_dam_hail,nr_fields_dam_high_temp,nr_fields_dam_low_temp,nr_fields_dam_pest,nr_fields_dam_lodging,nr_fields_dam_wildlife,nr_fields_dam_fire,nr_fields_dam_unclassified,mean_qa,mean_spread,mean_nr_values,total_nr_values,mean_duration,mean_sowing_date,sd_sowing_date,rising,falling,rising_lower_ci,rising_upper_ci,falling_lower_ci,falling_upper_ci
1,sedac,35386,30.650182667885,76.254442856675,3,3,2017-02-01,33.4952022150721,2,0,0,0,0,2,0,0,0,0,1,0,50,20,NA,NA,NA,NA,NA,NA,NA,NA,35,49.4974746830583,2017-01-27,13.4288247189891,1,0,0,0,0,0,0,0,1,18.6666666666667,6.20539215686275,19.6666666666667,59,111.333333333333,NA,NA,2016-12-16,2017-02-04,2017-01-13,2016-12-11,2017-01-31,2017-02-08
1,sedac,35410,30.6505377170083,76.350670209753,11,10,2017-01-25,46.6903482552781,8,0,2,5,1,7,0,1,1,0,1,1,44.3846153846154,25.0284453556963,NA,NA,50,0,50,0,NA,NA,0,NA,2017-02-09,44.4031852139332,2,4,1,0,0,1,0,0,1,19,6.32891644587296,18.2727272727273,201,92.9090909090909,NA,NA,2016-12-23,2017-02-18,2016-12-25,2016-12-22,2017-02-15,2017-02-20
1,sedac,35414,30.6277928290898,76.3847888698646,1,1,2017-02-07,36.7695526217005,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,17,7.52941176470588,18,18,128,NA,NA,2016-12-25,2017-02-24,2016-12-30,2016-12-21,2017-01-29,2017-03-02
1,sedac,35437,30.6365235252645,76.2499746037853,1,1,2017-02-04,42.7300960812296,1,0,0,1,0,1,0,0,0,0,0,1,33.3333333333333,14.4337567297406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-14,NA,0,0,0,0,0,1,0,0,0,45,3.33333333333333,46,46,150,NA,NA,2016-12-07,2017-01-01,2016-12-09,2016-12-06,2016-12-26,2017-02-17
1,sedac,35465,30.6417978349674,76.3543941265805,1,1,2017-02-12,39.0264867323036,1,0,0,1,0,1,0,0,0,1,0,1,50,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,24,6.625,25,25,159,NA,NA,2016-12-17,2017-02-08,2016-12-21,2016-12-13,2017-02-03,2017-02-12
1,sedac,35467,30.6353341014559,76.2766243273615,4,4,2017-01-15,40.764030147253,3,0,0,1,1,4,2,0,0,2,0,2,41.9230769230769,6.30425171956115,21.6666666666667,18.9296944860009,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,36.25,3.06363636363636,37.25,149,82.5,NA,NA,2016-12-16,2017-02-06,2016-12-17,2016-12-15,2017-02-04,2017-02-08
1,sedac,35525,30.6310245665665,76.2631095558012,3,3,2016-12-30,32.5597022487356,3,0,0,0,0,2,2,0,0,2,0,1,50,0,0,0,NA,NA,NA,NA,0,0,NA,NA,2017-02-14,43.890014050275,1,0,0,0,0,2,0,0,1,46.5,3.04575471698113,32,96,92.6666666666667,NA,NA,2016-12-28,2017-02-15,2016-12-30,2016-12-27,2017-02-09,2017-02-21
1,sedac,35551,30.6215278017426,76.2884760749712,4,3,2016-12-22,21.5580611373101,1,0,0,1,0,2,0,0,0,0,1,0,50,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,0,0,0,0,0,0,0,13.5,2.20993031358885,14.5,58,39,NA,NA,2016-12-22,2017-03-03,2016-12-24,2016-12-20,2017-02-26,2017-03-06
1,sedac,35567,30.6203524277549,76.2656096908424,1,1,2017-02-02,44.7403620906224,1,0,0,0,0,1,1,0,0,0,1,0,50,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,2017-01-19,21.1660104885167,1,0,0,0,0,0,0,0,1,58,2.39655172413793,59,59,139,NA,NA,2016-12-28,2017-01-31,2016-12-29,2016-12-27,2017-01-29,2017-02-02
1,sedac,35606,30.616841320096,76.1360834702099,2,1,2017-01-15,0,1,0,0,0,0,1,0,0,0,0,1,0,80,0,NA,NA,NA,NA,NA,NA,NA,NA,80,0,NA,NA,0,0,0,0,0,0,0,0,0,2.5,17.5,3.5,7,49,NA,NA,2016-12-08,2016-12-28,2016-12-11,2016-12-06,2016-12-22,2016-12-31
